"Hostname","Timestamp","Latency"
"127.0.0.1","2017-02-02 13:09:47","0.047"
"127.0.0.1","2017-02-02 13:09:48","0.040"
"127.0.0.1","2017-02-02 13:09:50","0.043"
"127.0.0.1","2017-02-02 13:09:51","0.040"
"127.0.0.1","2017-02-02 13:09:52","0.068"
"127.0.0.1","2017-02-02 13:09:53","0.036"
"127.0.0.1","2017-02-02 13:09:54","0.048"
"127.0.0.1","2017-02-02 13:09:55","0.058"
"127.0.0.1","2017-02-02 13:09:56","0.043"
"127.0.0.1","2017-02-02 13:09:57","0.039"
"127.0.0.1","2017-02-02 13:09:58","0.040"
"127.0.0.1","2017-02-02 13:09:59","0.043"
"127.0.0.1","2017-02-02 13:10:00","0.043"
"127.0.0.1","2017-02-02 13:10:01","0.041"
"127.0.0.1","2017-02-02 13:10:02","0.043"
"127.0.0.1","2017-02-02 13:10:03","0.041"
"127.0.0.1","2017-02-02 13:10:04","0.052"
"127.0.0.1","2017-02-02 13:10:05","0.059"
"127.0.0.1","2017-02-02 13:10:06","0.039"
"127.0.0.1","2017-02-02 13:10:07","0.034"
"127.0.0.1","2017-02-02 13:10:08","0.040"
"127.0.0.1","2017-02-02 13:10:09","0.054"
"127.0.0.1","2017-02-02 13:10:10","0.041"
"127.0.0.1","2017-02-02 13:10:11","0.041"
"127.0.0.1","2017-02-02 13:10:12","0.041"
"127.0.0.1","2017-02-02 13:10:13","0.039"
"127.0.0.1","2017-02-02 13:10:14","0.042"
"127.0.0.1","2017-02-02 13:10:15","0.039"
"127.0.0.1","2017-02-02 13:10:16","0.042"
"127.0.0.1","2017-02-02 13:10:17","0.051"
"127.0.0.1","2017-02-02 13:10:18","0.049"
"127.0.0.1","2017-02-02 13:10:19","0.042"
"127.0.0.1","2017-02-02 13:10:20","0.041"
"127.0.0.1","2017-02-02 13:10:25","0.051"
"127.0.0.1","2017-02-02 13:10:26","0.044"
